tick,day,scene_id,agent,object_name,object_affordance,distance_to_object,owner_referenced,affordance_referenced,reaction_referenced,prompt_visible,dialogue_text,prompt_specificity_score
0,1,v23-scene-d01,Keth,path cord,route promise,1.811495,1,1,0,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am watching.,1.0
1,1,v23-scene-d01,Ori,sap hook,repair hold,2.932657,0,0,0,0,No object-specific prompt on this tick.,0.8
2,1,v23-scene-d01,Ori,sap hook,repair hold,2.804683,1,1,0,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am watching.,1.0
3,1,v23-scene-d01,Nari,ink ledger,public note,2.02867,0,1,0,1,Nari: ink ledger belongs with sealed note; leave the ink ledger on the public stone; I am watching.,0.8
4,1,v23-scene-d01,Sova,moth lantern,night pulse,0.977408,1,1,0,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am watching.,1.0
5,1,v23-scene-d01,Melo,tally beads,fair-turn count,0.804025,1,0,0,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am watching.,0.8
6,1,v23-scene-d01,Nari,fern key,gate memory,0.503791,1,1,1,1,Nari: fern key belongs with sealed note; ask before using the fern key near the archive; I am asks-space.,1.0
7,1,v23-scene-d01,Ori,sap hook,repair hold,3.136815,0,0,0,0,No object-specific prompt on this tick.,0.8
8,1,v23-scene-d01,Sova,moth lantern,night pulse,1.558059,1,1,0,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am watching.,1.0
9,1,v23-scene-d01,Nari,ink ledger,public note,1.403746,0,0,0,0,No object-specific prompt on this tick.,0.8
10,1,v23-scene-d01,Sova,moth lantern,night pulse,1.616822,1,1,1,1,Sova: moth lantern belongs with warm rest space; hang the moth lantern only after dusk; I am asks-space.,1.0
11,1,v23-scene-d01,Keth,path cord,route promise,2.559881,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
12,1,v23-scene-d01,Ori,sap hook,repair hold,3.61973,1,1,1,1,Ori: sap hook belongs with repair warning; carry the sap hook only after Ori nods; I am welcoming.,1.0
13,1,v23-scene-d01,Melo,tally beads,fair-turn count,1.649051,1,1,0,1,Melo: tally beads belongs with fair turn; bring the tally beads for the queue count; I am watching.,1.0
14,1,v23-scene-d01,Keth,path cord,route promise,2.074291,1,1,1,1,Keth: path cord belongs with warning path; return the path cord before the wet crossing; I am welcoming.,1.0
