consequence_id,source_memory_id,agent_id,day,consequence_kind,scheduled_effect,market_effect,ritual_effect,relationship_effect,resolved,consequence_strength
conseq_mem_utt_day1_ka60,mem_utt_day1_ka60,ka60,2,ritual_distance,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.824
conseq_mem_utt_day1_mu61,mem_utt_day1_mu61,mu61,2,ritual_distance,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.824
conseq_mem_utt_day1_lo62,mem_utt_day1_lo62,lo62,2,ritual_distance,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.824
conseq_mem_utt_day1_sa63,mem_utt_day1_sa63,sa63,2,ritual_distance,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.824
conseq_mem_utt_day1_ni64,mem_utt_day1_ni64,ni64,2,ritual_distance,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.824
conseq_mem_utt_day2_ka60,mem_utt_day2_ka60,ka60,3,market_discount,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.854
conseq_mem_utt_day2_mu61,mem_utt_day2_mu61,mu61,3,market_discount,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.854
conseq_mem_utt_day2_lo62,mem_utt_day2_lo62,lo62,3,market_discount,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.854
conseq_mem_utt_day2_sa63,mem_utt_day2_sa63,sa63,3,market_discount,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.854
conseq_mem_utt_day2_ni64,mem_utt_day2_ni64,ni64,3,market_discount,agent adjusts next approach based on remembered typed exchange,fairer count and lower suspicion,edge place offered without pressure,trust increases without deleting boundary memory,True,0.854
conseq_mem_utt_day3_ka60,mem_utt_day3_ka60,ka60,5,clarification_followup,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.746
conseq_mem_utt_day3_mu61,mem_utt_day3_mu61,mu61,5,clarification_followup,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.746
conseq_mem_utt_day3_lo62,mem_utt_day3_lo62,lo62,5,clarification_followup,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.746
conseq_mem_utt_day3_sa63,mem_utt_day3_sa63,sa63,5,clarification_followup,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.746
conseq_mem_utt_day3_ni64,mem_utt_day3_ni64,ni64,5,clarification_followup,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.746
conseq_mem_utt_day5_ka60,mem_utt_day5_ka60,ka60,6,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day5_mu61,mem_utt_day5_mu61,mu61,6,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day5_lo62,mem_utt_day5_lo62,lo62,6,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day5_sa63,mem_utt_day5_sa63,sa63,6,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day5_ni64,mem_utt_day5_ni64,ni64,6,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day8_ka60,mem_utt_day8_ka60,ka60,9,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day8_mu61,mem_utt_day8_mu61,mu61,9,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day8_lo62,mem_utt_day8_lo62,lo62,9,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day8_sa63,mem_utt_day8_sa63,sa63,9,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
conseq_mem_utt_day8_ni64,mem_utt_day8_ni64,ni64,9,market_discount,agent adjusts next approach based on remembered typed exchange,no market change until clarified,edge place offered without pressure,trust increases without deleting boundary memory,True,0.776
