tick_id,day,tick,avatar_region,active_route,editor_panel,import_export_panel,branch_compare_panel,simultaneous_task_panel,agent_dialogue_panel,recovery_panel,local_storage_key,replay_key,boundary_note
0,1,0,roofward,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward: v1 valid=False,import rejected,river ford vs orchard ridge detour: branch_a_direct,lead caravan task: idle,none,recovery 0.62,ssrm_v31_route_state_riverbend_roofward,v31-442921,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
1,1,1,archive_quarter,roofward_archive,ssrm_v31_route_state_roofward_archive: v3 valid=True,import accepted,glass stair vs cool archive lane: branch_a_direct,lead caravan task: active,none,recovery 0.65,ssrm_v31_route_state_roofward_archive,v31-431894,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
2,1,2,signal_ridge,archive_signal,ssrm_v31_route_state_archive_signal: v1 valid=True,export ready,paper lane vs stone kiosk path: branch_a_direct,lead caravan task: active,none,recovery 0.62,ssrm_v31_route_state_archive_signal,v31-386750,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
3,1,3,orchard_fen,signal_orchard,ssrm_v31_route_state_signal_orchard: v1 valid=True,export ready,dusk road vs river lantern loop: branch_a_direct,lead caravan task: idle,none,recovery 0.56,ssrm_v31_route_state_signal_orchard,v31-376075,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
4,1,4,central_exchange,orchard_riverbend,ssrm_v31_route_state_orchard_riverbend: v2 valid=True,export ready,fen track vs market plank route: branch_a_direct,lead caravan task: idle,none,recovery 0.53,ssrm_v31_route_state_orchard_riverbend,v31-414483,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
5,1,5,repair_hall,central_repair_ring,ssrm_v31_route_state_central_repair_ring: v1 valid=True,export ready,inner repair yard vs outer bell path: branch_a_direct,lead caravan task: active,none,recovery 0.55,ssrm_v31_route_state_central_repair_ring,v31-542474,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
6,1,6,riverbend,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward: v1 valid=True,export ready,river ford vs orchard ridge detour: branch_a_direct,lead caravan task: idle,none,recovery 0.62,ssrm_v31_route_state_riverbend_roofward,v31-443412,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
7,1,7,roofward,roofward_archive,ssrm_v31_route_state_roofward_archive: v5 valid=True,import accepted,glass stair vs cool archive lane: branch_b_detour,lead caravan task: active,none,recovery 0.73,ssrm_v31_route_state_roofward_archive,v31-497559,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
8,1,8,archive_quarter,archive_signal,ssrm_v31_route_state_archive_signal: v2 valid=True,export ready,paper lane vs stone kiosk path: branch_b_detour,lead caravan task: idle,none,recovery 0.64,ssrm_v31_route_state_archive_signal,v31-461668,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
9,1,9,signal_ridge,signal_orchard,ssrm_v31_route_state_signal_orchard: v2 valid=True,import accepted,dusk road vs river lantern loop: branch_a_direct,lead caravan task: idle,none,recovery 0.57,ssrm_v31_route_state_signal_orchard,v31-376657,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
10,1,10,orchard_fen,orchard_riverbend,ssrm_v31_route_state_orchard_riverbend: v2 valid=True,export ready,fen track vs market plank route: branch_a_direct,lead caravan task: active,none,recovery 0.57,ssrm_v31_route_state_orchard_riverbend,v31-421990,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
11,1,11,central_exchange,central_repair_ring,ssrm_v31_route_state_central_repair_ring: v1 valid=True,export ready,inner repair yard vs outer bell path: branch_a_direct,lead caravan task: idle,none,recovery 0.54,ssrm_v31_route_state_central_repair_ring,v31-549492,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
12,1,12,repair_hall,riverbend_roofward,ssrm_v31_route_state_riverbend_roofward: v2 valid=True,export ready,river ford vs orchard ridge detour: branch_b_detour,lead caravan task: idle,none,recovery 0.65,ssrm_v31_route_state_riverbend_roofward,v31-579831,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
13,1,13,riverbend,roofward_archive,ssrm_v31_route_state_roofward_archive: v6 valid=True,export ready,glass stair vs cool archive lane: branch_b_detour,lead caravan task: active,none,recovery 0.81,ssrm_v31_route_state_roofward_archive,v31-507815,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
14,1,14,roofward,archive_signal,ssrm_v31_route_state_archive_signal: v3 valid=True,import accepted,paper lane vs stone kiosk path: branch_b_detour,lead caravan task: idle,none,recovery 0.68,ssrm_v31_route_state_archive_signal,v31-470418,"deterministic browser-local editable-state/branch-comparison/multi-route-dialogue scaffold only; no LLM call, subjective consciousness, real consent, moral patienthood, autonomous natural language, complete 3D engine, or metaphysical frequency claim"
