channel,passed,score,evidence,failure_if_false
pre_patch_resume_stale_payload_found,True,1.0,"After Resume demo, refreshed shell evidence points at the resume launch handoff while the visible prepared handoff payload still points at the older clean launch, with no stale-payload warning.",Report 329 would not be tied to a demonstrated reload/resume defect
freshness_source_generated,True,1.0,launcher generator and emitted JS contain handoff payload freshness detection,regeneration would remove stale-payload warnings
browser_resume_stale_warning_visible,True,1.0,"Prepared handoff payload is stale: launch handoff changed, launch kind changed. Re-run Prepare outside-review handoff.",resume drift still leaves a stale handoff payload visible without warning
browser_preview_freshness_marks_stale,True,1.0,"{""boundary"":""outside-review-handoff-freshness-public-local-only"",""currentHandoffKind"":""resume"",""currentHandoffRecordedAt"":""2026-06-18T09:01:04.757Z"",""currentManualRecordCount"":1,""currentReplayRows"":16,""fresh"":false,""mismatches"":[""launch handoff changed"",""launch kind changed""],""payloadHandoffKind"":""clean"",""payloadHandoffRecordedAt"":""2026-06-18T09:01:01.738Z"",""payloadManualRecordCount"":1,""payloadReplayRows"":16}",preview payload does not carry machine-readable freshness state
browser_detects_handoff_kind_mismatch,True,1.0,payload=clean; current=resume; mismatches=launch handoff changed|launch kind changed,freshness state does not explain clean-vs-resume handoff mismatch
browser_original_payload_still_inspectable,True,1.0,hasShellEvidence=true; hasCompletion=true; hasFreshness=true,freshness warning hides the actual exported payload contents
browser_reload_resume_console_clean,True,1.0,browser console error count was 0,reload/resume freshness flow produced browser console errors
prior_completion_not_broken,True,1.0,ready=true; fresh=true,freshness detection broke normal reviewed handoff completion
stale_warning_actionable,True,1.0,stale warning tells reviewers the exact recovery action,stale warning is ambiguous and does not tell reviewers how to recover
boundary_preserved,True,1.0,"Deterministic browser-local resume handoff freshness only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. Freshness warnings are review evidence hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local freshness hardening
