transform_id,day,time_s,actor,transformation,input_objects,tool_objects,preconditions,process_steps,output_objects,byproducts_or_waste,material_delta,wear_delta,energy_cost,skill_requirement,failure_mode,recovery_action,reversible,saved_state_key,frequency_hz,flower_node
xf-01,1,18.0,roka,reed drying bundle split,"loose reeds,rain cloth,blue stone warmth","reed comb,shade cord",Roka names tied bundle boundary; loose reeds only,sort loose reeds; comb mud; lay across warm blue stone; mark tied bundle untouched,dry loose reed strips,"mud flecks,wet cloth drip",0.34,0.06,0.08,reed sorting and distance timing,tied bundle confusion,step back and ask Roka to rename the pieces,True,transform:reed-dry:day1,251.552,4
xf-02,1,27.0,ariq,chalk arc repair mark,"chalk cord,flat stone,bridge dust",public posture bell,bell has rung; Roka foot line visible,hold cord; draw wide arc; tap stone; mark unsafe hollow edge,"wide chalk arc,unsafe edge mark","chalk dust,stone grit",0.22,0.09,0.12,timed lift and sound check,arc too narrow,erase line and redraw after Roka points,True,transform:chalk-arc:day1,261.122,5
xf-03,1,39.0,fayen,water pause care kit,"water cups,herb shade,clean cloth",care bell,pause accepted before work resumes,fill cups; cool cloth; ring bell once; place kit outside work lane,care kit staged,"used water,cloth dampness",0.18,0.04,0.05,care timing,care action becomes work pressure,restore pause and move kit farther back,True,transform:care-kit:day1,270.416,6
xf-04,2,910.0,nian,public digest knot wording,"spoken object trail,archive flap,knot cord",public knot board,body reason remains sealed,translate phrase; remove body reason; tie public digest knot; close flap,object-only digest knot,discarded over-specific wording,0.12,0.03,0.04,privacy grammar,private detail leaks,untie knot and rewrite public line,True,transform:digest-knot:day2,280.35,7
xf-05,2,918.0,noro,shade beam debt entry,"shade beam,timber debt,knot board",ledger cord,one beam carried; second beam locked,measure beam; mark debt; tie public repayment knot; leave second beam locked,"shade frame beam installed,debt knot","sawdust,open debt",0.48,0.12,0.18,material accounting,debt erased by gratitude,restore open debt and announce it,False,transform:shade-debt:day2,289.781,8
xf-06,2,932.0,environment,rain cloth slow-hands reset,"rain cloth,wet path,reed lane",slow-hands call,rain anxiety visible but not blamed,shake cloth; cover loose reeds; slow hands; move tools out of mud,"covered reeds,drier tool path","runoff,mud smear",0.2,0.07,0.1,weather response,weather hurry becomes blame,call slow-hands and name rain as cause,True,transform:rain-reset:day2,298.714,9
xf-07,3,1814.0,ariq,flat stone stability test,"flat stone,chalk arc,bell timing","tap stone,ledger note",bell rung; Noro reachable,tap edge; listen for hollow; shift weight with help; mark cart-safe half,cart-safe stone edge,"stone chip,boot grit",0.3,0.11,0.2,strength plus restraint,solo lift strain,abort lift and call Noro,False,transform:stone-test:day3,308.125,10
xf-08,3,1824.0,fayen,posture bell recovery,"care bell,shade mat,water cup",breath count,Ariq breath fast after stone test,ring low bell; count breath; hand cup; move work talk later,"slower breath,work pause",cup emptied,0.1,0.02,0.04,breath pacing,pain named publicly,switch to posture language only,True,transform:bell-recovery:day3,318.303,11
xf-09,4,2712.0,roka,loose reed lesson return,"dry reed strips,reed comb,blue stone",learning mat,avatar asks each time; tied bundle closed,sort strips; show one knot; let avatar carry loose-only tray,"lesson tray,closed tied bundle",reed dust,0.24,0.05,0.07,teaching with boundary,avatar generalizes loose access to tied bundle,close tray and repeat boundary,True,transform:reed-lesson:day4,327.203,12
xf-10,4,2720.0,noro,debt review before more timber,"debt knot,shade frame,ledger cord",public board,avatar reads open debt first,read debt; mark partial repayment; deny second beam until review,"partial repayment mark,beam lock",frayed cord,0.16,0.04,0.05,public accounting,more timber without review,lock beam and schedule review,False,transform:debt-review:day4,336.993,1
