tick,day,lineage,agent,public_state,avatar_state,sleep_panel,rehearsal_panel,reentry_panel,welfare_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,Hearthline,Sova,day 1: Sova recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=209.1,False,ssrm251_browser_world_v11_sleep_reentry,077b8e39c16eb95aed
2,1,Routeline,Keth,day 1: Keth recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=present_passive.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=204.8,False,ssrm251_browser_world_v11_sleep_reentry,1a95ab1a0af958754b
3,1,Marketline,Melo,day 1: Melo recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=present_passive.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=214.1,False,ssrm251_browser_world_v11_sleep_reentry,450116524cce0ae7c0
4,1,Ledgerline,Nari,day 1: Nari recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=present_passive.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=201.4,False,ssrm251_browser_world_v11_sleep_reentry,ff3b6e23a0ff898c55
5,1,Orchardline,Ori,day 1: Ori recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=present_passive.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=211.9,False,ssrm251_browser_world_v11_sleep_reentry,6e124f85583468c0ab
6,1,Rainline,Vonn,day 1: Vonn recovered; avatar=present_passive; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=present_passive.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=203.2,False,ssrm251_browser_world_v11_sleep_reentry,9a62e3cbe4171072d3
7,2,Hearthline,Sova,day 2: Sova recovered; avatar=present_passive; weather=wet wind,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=1; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=346.6,False,ssrm251_browser_world_v11_sleep_reentry,4c5e9ee73e11e3b434
8,2,Routeline,Keth,day 2: Keth recovered; avatar=present_passive; weather=wet wind,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=1; avatar=present_passive.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=342.3,False,ssrm251_browser_world_v11_sleep_reentry,ddc4fc510765fe9fbc
9,2,Marketline,Melo,day 2: Melo recovered; avatar=present_passive; weather=wet wind,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=1; avatar=present_passive.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=351.6,False,ssrm251_browser_world_v11_sleep_reentry,9329ae3bcc13238e76
10,2,Ledgerline,Nari,day 2: Nari recovered; avatar=present_passive; weather=wet wind,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=1; avatar=present_passive.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=338.9,False,ssrm251_browser_world_v11_sleep_reentry,3aa1e5a1d9d876c883
