tick,day,agent,prior_conflict_id,later_situation,request_or_refusal,bound_to_prior_arbitration,bounded_refusal,refusal_repair_path,request_quality,public_phrase
0,1,Keth,v16-conflict-d01-t00,route warning dispute,request,0,0,0,0.64,I remember day 1; can we use that same public reason here?
1,1,Melo,v16-conflict-d01-t01,sleep place crowding,request,0,0,0,0.748333,I remember day 1; can we use that same public reason here?
2,1,Nari,v16-conflict-d01-t02,ledger access request,request,0,0,0,0.756667,I remember day 1; can we use that same public reason here?
3,1,Ori,v16-conflict-d01-t03,repair work interruption,request,0,0,0,0.765,I remember day 1; can we use that same public reason here?
4,1,Vonn,v16-conflict-d01-t04,ritual noise boundary,request,0,0,0,0.773333,I remember day 1; can we use that same public reason here?
5,1,Sova,v16-conflict-d01-t05,shared tool request,request,0,0,0,0.781667,I remember day 1; can we use that same public reason here?
6,1,Keth,v16-conflict-d01-t06,route warning dispute,request,0,0,0,0.79,I remember day 1; can we use that same public reason here?
7,1,Melo,v16-conflict-d01-t07,sleep place crowding,request,0,0,0,0.74,I remember day 1; can we use that same public reason here?
8,1,Nari,v16-conflict-d01-t08,ledger access request,request,0,0,0,0.748333,I remember day 1; can we use that same public reason here?
9,1,Ori,v16-conflict-d01-t09,repair work interruption,request,0,0,0,0.756667,I remember day 1; can we use that same public reason here?
10,1,Vonn,v16-conflict-d01-t10,ritual noise boundary,request,0,0,0,0.765,I remember day 1; can we use that same public reason here?
11,1,Sova,v16-conflict-d01-t11,shared tool request,request,0,0,0,0.773333,I remember day 1; can we use that same public reason here?
12,2,Melo,v16-conflict-d01-t03,sleep place crowding,refusal,1,1,1,0.961667,I remember ask_public_reason from day 1; I can help after my boundary is kept.
13,2,Nari,v16-conflict-d01-t04,ledger access request,request,1,0,0,0.97,I remember day 1; can we use that same public reason here?
14,2,Ori,v16-conflict-d01-t05,repair work interruption,request,1,0,0,0.92,I remember day 1; can we use that same public reason here?
15,2,Vonn,v16-conflict-d01-t07,ritual noise boundary,refusal,1,1,1,0.928333,I remember ask_public_reason from day 1; I can help after my boundary is kept.
16,2,Sova,v16-conflict-d01-t08,shared tool request,refusal,1,1,1,0.936667,I remember defer_until_rest from day 1; I can help after my boundary is kept.
17,2,Keth,v16-conflict-d01-t09,route warning dispute,request,0,0,0,0.765,I remember day 1; can we use that same public reason here?
18,2,Melo,v16-conflict-d01-t10,sleep place crowding,refusal,1,1,1,0.953333,I remember repair_first from day 1; I can help after my boundary is kept.
19,2,Nari,v16-conflict-d01-t11,ledger access request,request,1,0,0,0.961667,I remember day 1; can we use that same public reason here?
20,2,Ori,v16-conflict-d01-t01,repair work interruption,refusal,1,1,1,0.97,I remember split_access from day 1; I can help after my boundary is kept.
21,2,Vonn,v16-conflict-d01-t02,ritual noise boundary,refusal,1,1,1,0.92,I remember defer_until_rest from day 1; I can help after my boundary is kept.
22,2,Sova,v16-conflict-d01-t03,shared tool request,refusal,1,1,1,0.928333,I remember ask_public_reason from day 1; I can help after my boundary is kept.
23,2,Keth,v16-conflict-d01-t04,route warning dispute,request,1,0,0,0.836667,I remember day 1; can we use that same public reason here?
24,3,Nari,v16-conflict-d01-t05,ledger access request,refusal,1,1,1,0.945,I remember split_access from day 1; I can help after my boundary is kept.
25,3,Ori,v16-conflict-d01-t07,repair work interruption,request,1,0,0,0.953333,I remember day 1; can we use that same public reason here?
26,3,Vonn,v16-conflict-d01-t08,ritual noise boundary,refusal,1,1,1,0.961667,I remember defer_until_rest from day 1; I can help after my boundary is kept.
