tick,day,scene_id,agent,distance_to_avatar,collision_detected,collision_blocked,proximity_prompt_visible,prompt_kind,prompt_text,prompt_accuracy
0,1,v21-scene-d01,Keth,1.708801,1,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
1,1,v21-scene-d01,Melo,1.271377,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
2,1,v21-scene-d01,Nari,2.037253,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
3,1,v21-scene-d01,Ori,2.53811,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
4,1,v21-scene-d01,Vonn,2.380336,0,0,0,observe,Vonn: keep quiet distance visible before listening shell.,0.666667
5,1,v21-scene-d01,Sova,1.869866,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
6,1,v21-scene-d01,Keth,1.449966,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
7,1,v21-scene-d01,Melo,1.271377,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
8,1,v21-scene-d01,Nari,1.843909,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
9,1,v21-scene-d01,Ori,2.906888,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
10,1,v21-scene-d01,Vonn,2.109502,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
11,1,v21-scene-d01,Sova,1.505855,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
12,1,v21-scene-d01,Keth,1.64,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
13,1,v21-scene-d01,Melo,1.601125,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
14,1,v21-scene-d01,Nari,2.032142,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
15,2,v21-scene-d02,Vonn,2.207351,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
16,2,v21-scene-d02,Sova,1.400143,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
17,2,v21-scene-d02,Keth,1.604494,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
18,2,v21-scene-d02,Melo,2.043624,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
19,2,v21-scene-d02,Nari,2.436062,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
20,2,v21-scene-d02,Ori,3.421169,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
21,2,v21-scene-d02,Vonn,2.551627,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
22,2,v21-scene-d02,Sova,1.604618,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
23,2,v21-scene-d02,Keth,1.368211,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
24,2,v21-scene-d02,Melo,1.965401,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
25,2,v21-scene-d02,Nari,2.585498,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
26,2,v21-scene-d02,Ori,3.421169,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
27,2,v21-scene-d02,Vonn,2.039314,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
28,2,v21-scene-d02,Sova,1.020784,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
29,2,v21-scene-d02,Keth,2.189795,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
30,3,v21-scene-d03,Nari,2.44524,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
