channel,passed,score,evidence,failure_if_false
report_339_stale_repair_gate_passed,True,1.0,Report 339 verdict=pass weakest=1.0,continue-return freshness would not be grounded in a passing stale repair gate
repaired_continue_return_source_still_present,True,1.0,"generator, emitted JS, and emitted HTML retain repaired handoff continue/refresh machinery",regeneration would remove repaired handoff continue-return behavior
stale_status_visible_before_repair,True,1.0,"Prepared handoff payload is stale: launch handoff changed, launch kind changed. Payload is resume while current shell is clean. Re-run Prepare outside-review handoff.",the proof did not start from a visible stale handoff state
stale_mismatch_history_visible_before_repair,True,1.0,"['launch handoff changed', 'launch kind changed']",pre-repair stale mismatch history was not retained in browser evidence
repaired_clean_handoff_fresh_before_continue,True,1.0,"Outside-review handoff ready: fresh clean handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared clean handoff, or download Prepared outside-review handoff JSON.",repaired handoff was not fresh and continue-capable before use
repaired_payload_tracks_current_shell_before_continue,True,1.0,payload=2026-06-18T10:08:51.424Z current=2026-06-18T10:08:51.424Z,repaired payload did not track the current shell handoff before continue
repaired_continue_reaches_reset_shell,True,1.0,url=http://127.0.0.1:8802/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63 reviewer=True,repaired clean continue action did not reach the reset reviewer shell
reviewer_pass_rerun_after_repaired_continue,True,1.0,url=http://127.0.0.1:8802/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63 allPass=True,reviewer pass was not rerun after using the recovered clean handoff
repaired_return_to_launcher_visible,True,1.0,http://127.0.0.1:8802/visualizations/ssrm_3d_browser_world_primary_demo/index.html#outsideReviewChecklist,continued repaired session could not return visibly to the launcher
repaired_handoff_still_fresh_after_return_refresh,True,1.0,"Outside-review handoff ready: fresh clean handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared clean handoff, or download Prepared outside-review handoff JSON.",repaired handoff became stale after continue-return-refresh
repaired_continue_action_still_available_after_refresh,True,1.0,Continue from prepared clean handoffDownload prepared outside-review handoff JSON,repaired continue action disappeared after return refresh
repaired_payload_timestamp_unchanged_after_refresh,True,1.0,before=2026-06-18T10:08:51.424Z after=2026-06-18T10:08:51.424Z,continue-return-refresh mutated the repaired prepared payload timestamp
current_shell_timestamp_matches_repaired_payload_after_refresh,True,1.0,payload=2026-06-18T10:08:51.424Z shell=2026-06-18T10:08:51.424Z,current shell handoff timestamp diverged from the repaired payload after refresh
shell_evidence_all_pass_after_repaired_continue,True,1.0,Shell evidence: replay 16 rows / reviewer pass seen / receipt 9/9 / observations 0 / export ready.,refreshed shell evidence was not all-pass after repaired continue-return
repaired_fresh_survives_post_return_reload,True,1.0,"Outside-review handoff ready: fresh clean handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared clean handoff, or download Prepared outside-review handoff JSON.",repaired handoff freshness did not survive post-return reload
stale_history_preserved_in_browser_evidence,True,1.0,"['launch handoff changed', 'launch kind changed']",browser evidence no longer preserves the stale history that was repaired
browser_evidence_uses_visible_or_preview_state,True,1.0,"browser evidence compares visible status/actions and visible handoff preview JSON, not raw storage keys",repaired continue-return proof relies on privileged storage inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],repaired continue-return browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local repaired handoff continue-return freshness bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local launcher recovery and review-handoff freshness hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local repaired handoff freshness
