criterion,passed,score,evidence
report_357_accountability_gate_passing,True,1.0,Report 357 verdict=pass weakest=1.0
source_exposes_return_greeting_state,True,1.0,"app.js exposes return greeting continuity state, render, update, and boundary"
source_binds_greeting_to_return_path,True,1.0,enterWorld returning path invokes accountability return greeting and logs it
source_preserves_original_offscreen_history,True,1.0,return greeting checks original offscreen event/history instead of replacing it
visible_return_greeting_panel_wired,True,1.0,index.html exposes Return greeting dashboard panel
public_state_boundary_includes_return_greeting,True,1.0,state-boundary audit public world includes return greeting continuity
browser_smoke_artifact_exists,True,1.0,artifacts/ssrm_3d_browser_world_v118_primary_shell_accountability_return_greeting_continuity_browser_smoke.json
browser_smoke_used_maintained_shell,True,1.0,http://127.0.0.1:8775/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html
before_return_greeting_empty_after_accountability,True,1.0,No accountability return greeting yet.
return_greeting_created_on_next_enter,True,1.0,"greeting={'resident': 'Milo', 'greeting': 'Milo remembers milo-offscreen-water-jars was resolved and your absence was accounted', 'residentThreadId': 'milo-offscreen-water-jars', 'residentObligationStatus': 'resolved/resolved', 'avatarThreadStatus': 'accounted', 'residentHistoryPreserved': True}"
return_greeting_mentions_resolved_obligation_and_accounted_absence,True,1.0,"Milo greeting: Milo remembers milo-offscreen-water-jars was resolved and your absence was accounted
Resolved: milo-offscreen-water-jars resolved/resolved
Avatar absence: accounted
History preserved: yes"
resident_history_still_names_original_event,True,1.0,"* Ari now: debt 1 / trust 0.593 / progress 0.396 / memory: recognized returning avatar; follow-up opened: Ari wants the avatar to check the awning repair after returning
  t1 state update: trust/debt/progress changed -> debt 1 trust 0.579 progress 0.378
  t5 return recognition: recognized avatar returning through arrival court -> debt 1 trust 0.589 progress 0.384
  t5 promise follow-up: opened remembered obligation after 1 return(s) -> debt 1 trust 0.593 progress 0.396
  Fay now: debt 0 / trust 0.632 / progress 0.521 / memory: warned about wet route
  t1 state update: trust/debt/progress changed -> debt 0 trust 0.632 progress 0.521
  t1 offscreen obligation issued: Fay changed Milo's obligation while avatar absent -> debt 0 trust 0.632 progress 0.521
  Milo now: debt 2 / trust 0.507 / progress 0.314 / memory: return greeting linked milo-offscreen-water-jars and accounted avatar absence
  t1 offscreen obligation received: Fay changed Milo's obligation while avatar absent -> debt 3 trust 0.475 progress 0.277
  t3 obligation resolved: bounded action resolved selected follow-up -> debt 2 trust 0.493 progress 0.301
  t4 avatar absence accounted: avatar acknowledged absence without erasing milo-offscreen-water-jars -> debt 2 trust 0.499 progress 0.307
  t5 accountability return greeting: Milo remembers milo-offscreen-water-jars was resolved and your absence was accounted; history preserved yes -> debt 2 trust 0.507 progress 0.314
  Sera now: debt 1 / trust 0.542 / progress 0.447 / memory: asked for quiet
  t1 state update: trust/debt/progress changed -> debt 1 trust 0.542 progress 0.447
  Tovan now: debt 1 / trust 0.509 / progress 0.420 / memory: keeps route tokens
  t1 state update: trust/debt/progress changed -> debt 1 trust 0.509 progress 0.42
  Nia now: debt 0 / trust 0.612 / progress 0.503 / memory: remembers quiet greeting
  t1 state update: trust/debt/progress changed -> debt 0 trust 0.612 progress 0.503"
resident_schedule_debt_stay_resolved_after_return,True,1.0,"schedule=milo-offscreen-water-jars: resolved / Milo schedule resolved: follow-up resolved: awning repair checked
ari-awning-followup: pending / Ari schedule pending: follow-up opened: check awning repair debt=milo-offscreen-water-jars: settled / debt 2 / Milo debt settled: 2 after resolve
ari-awning-followup: outstanding / debt 1 / Ari debt outstanding: 1 after follow-up-opened"
return_greeting_survives_reload,True,1.0,"reload_greeting={'resident': 'Milo', 'greeting': 'Milo remembers milo-offscreen-water-jars was resolved and your absence was accounted', 'residentThreadId': 'milo-offscreen-water-jars', 'residentObligationStatus': 'resolved/resolved', 'avatarThreadStatus': 'accounted', 'residentHistoryPreserved': True} text=Milo greeting: Milo remembers milo-offscreen-water-jars was resolved and your absence was accounted
Resolved: milo-offscreen-water-jars resolved/resolved
Avatar absence: accounted
History preserved: yes"
replay_logs_return_greeting_continuity,True,1.0,replayHasReturnGreetingContinuity=True returnGreetingReloaded=True
browser_console_clean,True,1.0,console error count=0
experiment_index_includes_report_358,True,1.0,scripts/run_experiments.py includes Report 358 module
claim_boundary_preserved,True,1.0,"Browser-local accountability return-greeting continuity over the maintained v61 shell only; no LLM call, subjective consciousness, real consent, autonomous natural language, moral patienthood, production persistence, hosted URL proof, complete 3D engine, finished gameplay, or metaphysical claim."
