tick_id,route_id,replay_event,event_payload_hash,replay_exportable,dom_selector,expected_state_after,observed_state_after,deterministic_order
0,riverbend_roofward,animation_play,v34-739794,True,#anim-riverbend_roofward-play,playing,playing,1
0,riverbend_roofward,visible_body_reaction,v34-164611,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",2
1,roofward_archive,animation_step,v34-702060,True,#anim-roofward_archive-step,stepped,stepped,3
1,roofward_archive,visible_body_reaction,v34-138716,True,#body-reaction-roofward_archive,Fay lowers her shoulders and uncurls her fingers,Fay lowers her shoulders and uncurls her fingers,4
1,roofward_archive,paste_import_snapshot,v34-295559,True,#snapshot-paste-box,imported:roofward_archive:d1:t1,imported:roofward_archive:d1:t1,5
2,archive_signal,merge_detour,v34-740754,True,#merge-archive_signal,stone kiosk path,stone kiosk path,6
2,archive_signal,visible_body_reaction,v34-040561,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",7
3,signal_orchard,animation_pause,v34-660057,True,#anim-signal_orchard-pause,paused,paused,8
3,signal_orchard,visible_body_reaction,v34-052160,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,9
4,orchard_riverbend,export_snapshot,v34-209458,True,#snapshot-export-box,snapshot:orchard_riverbend:d1:t4,snapshot:orchard_riverbend:d1:t4,10
5,central_repair_ring,rollback_direct,v34-986511,True,#rollback-central_repair_ring,inner repair yard,inner repair yard,11
5,central_repair_ring,visible_body_reaction,v34-109014,True,#body-reaction-central_repair_ring,"Juno covers the wire, exhales, then nods once","Juno covers the wire, exhales, then nods once",12
6,riverbend_roofward,animation_play,v34-740586,True,#anim-riverbend_roofward-play,playing,playing,13
6,riverbend_roofward,visible_body_reaction,v34-165403,True,#body-reaction-riverbend_roofward,"Ari shakes water from sleeves, then leans closer","Ari shakes water from sleeves, then leans closer",14
6,riverbend_roofward,delayed_followup_dialogue,v34-408863,True,#followup-riverbend_roofward,I noticed you chose the dry ridge. I can keep carrying the kit.,I noticed you chose the dry ridge. I can keep carrying the kit.,15
7,roofward_archive,animation_step,v34-702852,True,#anim-roofward_archive-step,stepped,stepped,16
7,roofward_archive,visible_body_reaction,v34-139508,True,#body-reaction-roofward_archive,Fay lowers her shoulders and uncurls her fingers,Fay lowers her shoulders and uncurls her fingers,17
7,roofward_archive,delayed_followup_dialogue,v34-447731,True,#followup-roofward_archive,The warm lane helped. I remember you waited instead of rushing me.,The warm lane helped. I remember you waited instead of rushing me.,18
7,roofward_archive,export_snapshot,v34-171680,True,#snapshot-export-box,snapshot:roofward_archive:d1:t7,snapshot:roofward_archive:d1:t7,19
8,archive_signal,merge_detour,v34-852930,True,#merge-archive_signal,stone kiosk path,stone kiosk path,20
8,archive_signal,visible_body_reaction,v34-041353,True,#body-reaction-archive_signal,"Nia blinks twice, then points toward the kiosk","Nia blinks twice, then points toward the kiosk",21
8,archive_signal,delayed_followup_dialogue,v34-315882,True,#followup-archive_signal,That path kept the spool clean. I can explain the pattern now.,That path kept the spool clean. I can explain the pattern now.,22
9,signal_orchard,animation_pause,v34-660849,True,#anim-signal_orchard-pause,paused,paused,23
9,signal_orchard,visible_body_reaction,v34-052952,True,#body-reaction-signal_orchard,Milo lifts the lantern and scans the path twice,Milo lifts the lantern and scans the path twice,24
9,signal_orchard,delayed_followup_dialogue,v34-487203,True,#followup-signal_orchard,The loop gave us light. I trust that more than the short road tonight.,The loop gave us light. I trust that more than the short road tonight.,25
10,orchard_riverbend,paste_import_snapshot,v34-359854,True,#snapshot-paste-box,imported:orchard_riverbend:d1:t10,imported:orchard_riverbend:d1:t10,26
11,central_repair_ring,delayed_followup_dialogue,v34-547847,True,#followup-central_repair_ring,The outer path gave me room. I can finish the wire without shaking.,The outer path gave me room. I can finish the wire without shaking.,27
